GRAPHEME,DESCRIPTION
ʮ,non-anterior approximant back non-consonantal non-constricted continuant non-coronal dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense voice
ʯ,non-anterior approximant non-back non-consonantal non-constricted continuant non-coronal dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense voice
ɯ̽̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic non-tense voice
ɯ̥̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic tense non-voice
ɯ̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic tense voice
ɯ̯,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread non-syllabic tense voice
ɯ̽,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic non-tense voice
ɯ̥,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic tense non-voice
ɯ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic tense voice
ɯ̤,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant spread syllabic tense voice
ɯ̽̃ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic non-tense voice
ɯ̃ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic tense voice
ɯ̽ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic non-tense voice
ɯː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic tense voice
ɰ,approximant back non-consonantal non-constricted continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread non-syllabic non-tense voice
ʊ̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic non-tense voice
ʊ̯,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread non-syllabic non-tense voice
ʊ̥,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic non-tense non-voice
ʊ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic non-tense voice
ʊ̈̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic non-tense voice
ʊ̈,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic non-tense voice
ʊ̃ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic non-tense voice
ʊː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic non-tense voice
ʊ̈̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic non-tense voice
ʊ̈ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic non-tense voice
v̥,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
v,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
v̩,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread strident syllabic non-tense voice
vː,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral long non-nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
vʲ,non-anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ʋ,anterior non-approximant non-consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ⱱ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ʌ̆,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-long non-low non-nasal place sonorant non-spread syllabic non-tense voice
ʌ̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic non-tense voice
ʌ̤̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low nasal place sonorant spread syllabic non-tense voice
ʌ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic non-tense voice
ʌ̤,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant spread syllabic non-tense voice
ʌ̃ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic non-tense voice
ʌ̯ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread non-syllabic non-tense voice
ʌː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic non-tense voice
w,approximant back non-consonantal continuant non-coronal dorsal high labial non-laryngeal non-lateral non-low non-nasal place round sonorant non-syllabic non-tense
w̃,non-approximant non-consonantal non-constricted continuant laryngeal non-lateral nasal non-place sonorant non-spread non-syllabic non-tense voice
wː,non-approximant non-consonantal non-constricted continuant laryngeal non-lateral long non-nasal non-place sonorant non-spread non-syllabic non-tense voice
ʍ,non-approximant non-consonantal continuant non-laryngeal non-lateral non-nasal non-place sonorant non-syllabic non-tense
x,non-approximant back non-click consonantal continuant non-coronal dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place non-sonorant non-syllabic non-tense
xʲ,non-anterior non-approximant back non-click consonantal continuant coronal distributed dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place non-sibilant non-sonorant strident non-syllabic non-tense
xʷ,non-approximant back non-click consonantal continuant non-coronal dorsal high labial non-laryngeal non-lateral non-low non-nasal place round non-sonorant non-syllabic non-tense
xʼ,non-approximant back non-click consonantal constricted continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
ỹ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
y,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ỹː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral long non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
yː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral long non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ʏ̃,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ʏ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ʏ̃ː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral long non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ʏː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high labial laryngeal non-lateral long non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
z̪̥,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic tense non-voice
z̪,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic tense voice
z̥,anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
z,anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic non-tense voice
z̩,anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident syllabic non-tense voice
zʲ,non-anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ʐ,non-anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ʑ,non-anterior non-approximant non-back non-click consonantal non-constricted continuant coronal non-distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sibilant non-sonorant non-spread strident non-syllabic tense voice
ʒ̊,non-anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed laryngeal non-lateral non-nasal non-place sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
ʒ,non-anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed laryngeal non-lateral non-nasal non-place sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ʒ̍,non-anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed laryngeal non-lateral non-nasal non-place sibilant non-sonorant non-spread strident syllabic non-tense voice
ʔ,non-approximant non-click non-consonantal constricted non-continuant laryngeal non-lateral non-nasal non-place non-sonorant non-spread non-syllabic non-tense non-voice
ʔh,non-approximant non-click non-consonantal non-continuant non-laryngeal non-lateral nasal non-place non-sonorant non-syllabic non-tense
ʔʲ,non-anterior non-approximant non-click non-consonantal non-continuant coronal distributed non-laryngeal non-lateral non-nasal non-place non-sibilant non-sonorant non-strident non-syllabic non-tense
ʔʷ,non-approximant non-click non-consonantal non-continuant labial non-laryngeal non-lateral non-nasal non-place round non-sonorant non-syllabic non-tense
ˀŋǀ,anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place preglottalized non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
ˀŋǁ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal non-labial laryngeal lateral nasal place preglottalized non-sonorant non-spread non-syllabic non-tense voice
ˀŋǂ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place preglottalized non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ˀŋǃ,anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place preglottalized non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ˀŋǃǃ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place preglottalized non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ˀŋʘ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place preglottalized non-round non-sonorant non-spread non-syllabic non-tense voice
ʕ,non-approximant non-click consonantal non-constricted continuant non-coronal non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place non-sonorant non-spread non-syllabic non-tense voice
ʡ,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place non-sonorant non-spread non-syllabic non-tense non-voice
ʢ,approximant non-click consonantal non-constricted continuant non-coronal non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place sonorant non-spread non-syllabic non-tense voice
ǀ,anterior non-approximant click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic tense
ǁ,non-approximant click consonantal non-continuant non-coronal non-dorsal non-labial non-laryngeal lateral non-nasal place non-sonorant non-syllabic non-tense
ǂ,non-anterior non-approximant click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
ǃ,anterior non-approximant click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
ǃǃ,non-anterior non-approximant click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
ʘ,non-approximant click consonantal non-continuant non-coronal non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sonorant non-syllabic non-tense
β,non-approximant non-click consonantal non-constricted continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sonorant non-spread non-syllabic non-tense voice
β̞,non-approximant non-consonantal non-constricted continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round sonorant non-spread non-syllabic non-tense voice
βʷ,non-approximant non-click consonantal non-constricted continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place round non-sonorant non-spread non-syllabic non-tense voice
θ,anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant strident non-syllabic tense
θ̼,anterior non-approximant non-click consonantal continuant coronal non-distributed non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant strident non-syllabic non-tense
θː,anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral long non-nasal place non-sibilant non-sonorant strident non-syllabic tense
χ,non-approximant back non-click consonantal continuant non-coronal dorsal non-high non-labial non-laryngeal non-lateral non-low non-nasal place non-sonorant non-syllabic non-tense
χʷ,non-approximant back non-click consonantal continuant non-coronal dorsal non-high labial non-laryngeal non-lateral non-low non-nasal place round non-sonorant non-syllabic non-tense
χʼ,non-approximant back non-click consonantal constricted continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
