GRAPHEME,DESCRIPTION
ɤ̃ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic tense voice
ɤː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic tense voice
f,anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant strident non-syllabic non-tense
fː,anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal labial non-laryngeal non-lateral long non-nasal place non-round non-sibilant non-sonorant strident non-syllabic non-tense
fˠ,anterior non-approximant back non-click consonantal continuant coronal distributed dorsal high labial non-laryngeal non-lateral non-low non-nasal place non-round non-sibilant non-sonorant strident non-syllabic non-tense
fʰ,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant spread strident non-syllabic non-tense non-voice
fʲ,non-anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant strident non-syllabic non-tense
fʷː,anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal labial non-laryngeal non-lateral long non-nasal place round non-sibilant non-sonorant strident non-syllabic non-tense
fʼ,anterior non-approximant non-click consonantal constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
g̊,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
g,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense voice
gː,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral long non-low non-nasal place non-sonorant non-spread non-syllabic non-tense voice
gɣ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread non-syllabic non-tense voice
gʰ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant spread non-syllabic non-tense voice
gʲ,non-anterior non-approximant back non-click consonantal non-constricted non-continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
gʷ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high labial laryngeal non-lateral non-low non-nasal place round non-sonorant non-spread non-syllabic non-tense voice
gǀ,anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
gǁ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal non-labial laryngeal lateral non-nasal place non-sonorant non-spread non-syllabic non-tense voice
gǂ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
gǃ,anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
gǃǃ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
gʘ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sonorant non-spread non-syllabic non-tense voice
ɢ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense voice
ɢʰ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant spread non-syllabic non-tense voice
ɢʁ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread non-syllabic non-tense voice
ɠ,non-approximant back consonantal constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense voice
ʛ̥,non-approximant back consonantal constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
ʛ,non-approximant back consonantal constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense voice
ɣ̊,non-approximant back non-click consonantal non-constricted continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
ɣ,non-approximant back non-click consonantal non-constricted continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense voice
